Date Height(cm)
202301010624 182
202301011156 116
202301011731 178
202301020032 47
202301020723 198
202301021325 114
202301021842 167
202301030119 44
202301030813 214
202301031440 105
202301031946 160
202301040201 41
202301040857 228
202301041538 94
202301042039 157
202301050241 38
202301050937 240
202301051625 85
202301052126 156
202301060319 37
202301061015 248
202301061706 78
202301062207 155
202301070356 38
202301071051 252
202301071742 73
202301072246 155
202301080431 40
202301081125 253
202301081816 71
202301082323 155
202301090505 45
202301091158 250
202301091847 70
202301092359 155
202301100540 52
202301101229 244
202301101917 70
202301110037 155
202301110615 61
202301111259 235
202301111947 70
202301120118 155
202301120653 72
202301121329 225
202301122019 70
202301130206 156
202301130735 84
202301131400 213
202301132055 68
202301140302 159
202301140825 98
202301141434 200
202301142137 65
202301150410 166
202301150929 111
202301151515 187
202301152228 60
202301160524 177
202301161051 121
202301161610 173
202301162324 54
202301170635 193
202301171229 122
202301171725 161
202301180022 46
202301180737 213
202301181359 112
202301181851 156
202301190118 38
202301190830 233
202301191507 95
202301192005 157
202301200211 30
202301200919 252
202301201600 78
202301202106 162
202301210301 24
202301211003 266
202301211646 61
202301212200 168
202301220350 21
202301221046 275
202301221729 48
202301222250 173
202301230437 24
202301231127 278
202301231810 39
202301232339 177
202301240524 31
202301241207 273
202301241851 35
202301250027 179
202301250610 43
202301251245 262
202301251933 35
202301260117 179
202301260658 58
202301261324 245
202301262015 40
202301270210 177
202301270747 77
202301271402 224
202301272100 46
202301280309 176
202301280843 96
202301281442 201
202301282149 54
202301290417 177
202301290952 113
202301291528 178
202301292243 60
202301300534 182
202301301129 124
202301301631 157
202301302342 64
202301310650 192
202302010041 64
202302010753 205
202302011456 108
202302011937 141
202302020134 61
202302020843 218
202302021545 95
202302022037 144
202302030221 56
202302030924 230
202302031620 84
202302032122 150
202302040303 51
202302040959 240
202302041650 74
202302042159 158
202302050342 46
202302051032 246
202302051716 67
202302052234 165
202302060418 44
202302061102 249
202302061742 62
202302062307 172
202302070453 44
202302071131 248
202302071806 58
202302072339 178
202302080527 47
202302081159 243
202302081831 55
202302090013 182
202302090602 54
202302091227 235
202302091856 54
